word,log_odds
uwe,-6.27329327793881
boll,-5.918943705359071
stinker,-4.444405194331566
mstk,-4.335151748345852
waste,-3.9289539356311884
turd,-3.806975273716273
unwatchable,-3.7300410291024915
seagal,-3.7032150143036335
incoherent,-3.5713341336005175
unfunny,-3.571169432984905
godawful,-3.5039062060802273
worst,-3.4908829441888467
wasting,-3.417426685354759
redeeming,-3.374250544152977
awful,-3.3628918635331413
camcorder,-3.3265099552067796
amateurish,-3.2747722068647236
laughable,-3.268926530957672
atrocious,-3.2668670087793776
poorly,-3.252708945782718
drivel,-3.2461084486125804
uninteresting,-3.144010260993844
embarrassingly,-3.13963182048327
uninspired,-3.1258629142835845
dreck,-3.1197627147471665
unimaginative,-3.088868706801383
laughably,-3.062396495440192
lousy,-3.0600714424939484
pointless,-3.0549415864939986
cannibal,-3.0444745874429295
blah,-2.9745725742127735
lame,-2.9575971367629625
remotely,-2.949126710855449
sucks,-2.937559383526418
abysmal,-2.8872348456317325
tripe,-2.8840099152496834
miserably,-2.8518295095005337
moronic,-2.8518295095005337
horrid,-2.804523794722177
wasted,-2.8008455807817287
subpar,-2.796547073999344
shoddy,-2.793412823275212
insulting,-2.786406434502485
pathetic,-2.7784563231703148
moses,-2.776278476493357
idiotic,-2.7702996240039357
norris,-2.7632928348988766
terrible,-2.7533449799239076
insult,-2.719379213476884
dreadful,-2.7086073015976933
horrible,-2.693504823555591
unlikeable,-2.6913648373072876
nonexistent,-2.684299023198604
unconvincing,-2.6797102946453095
unoriginal,-2.664626516626386
worthless,-2.6443874296300574
pile,-2.643792381141156
dumber,-2.629437088164086
lifeless,-2.6173642558635106
garbage,-2.6161227348832052
nope,-2.5970156104717086
forgettable,-2.591962382745423
appalling,-2.58879510366674
morons,-2.583633398550961
pitiful,-2.5705433991105173
paranormal,-2.5680365434999426
inane,-2.559047760272688
scarecrow,-2.533221772904783
crap,-2.509398706524777
unintentional,-2.5081307919419524
crappy,-2.495787473113323
prom,-2.4774339947190356
embarrassing,-2.4717556824765206
embarrassment,-2.4659383558812062
worse,-2.4636709107054413
downhill,-2.453280133010259
whatsoever,-2.4425056614160834
boredom,-2.4269442242653425
rubbish,-2.426450066000231
cobra,-2.399955242041319
stupid,-2.3906857187933492
mess,-2.3846072777078824
insipid,-2.3794588351557384
muddled,-2.3778983211681215
embarrassed,-2.366402682330292
tasteless,-2.366402682330292
disgrace,-2.366402682330292
badly,-2.3621110726979198
cardboard,-2.35291945296667
wooden,-2.3501315131558087
mummy,-2.3268743181436546
tolerable,-2.322459334742695
tedious,-2.3133414385788784
dull,-2.289246786883995
stinks,-2.277135344233205
olds,-2.277135344233205
incomprehensible,-2.2739564335656968
tooth,-2.2668670087793776
mildly,-2.261951518365261
snakes,-2.2563132306186366
lackluster,-2.2553713699415483
hackneyed,-2.24610844861258
costs,-2.2359006580961642
critters,-2.2335084118329465
inept,-2.2250468330847504
bland,-2.2195612940010205
boring,-2.2151663680905838
unintentionally,-2.214399588885242
excuse,-2.2032245133285646
useless,-2.2015182975885095
rourke,-2.2009790731229204
ripoff,-2.176924883466579
kidding,-2.1452752282304215
fails,-2.1406355342131875
ridiculous,-2.130204461468814
porno,-2.129866078673574
junk,-2.1281325164898393
horrendous,-2.126510356308941
wretched,-2.1253945828264973
ashamed,-2.117230929878244
suck,-2.1159369499995537
travesty,-2.1148639153343276
stupidity,-2.1024219366522092
bother,-2.101639462579747
annoying,-2.0991474935755994
tiresome,-2.0902782770560546
moron,-2.088868706801383
miscast,-2.0855018557029847
avoid,-2.0825139484621036
horribly,-2.081734206012012
mediocrity,-2.080098497173651
asleep,-2.0536931174723083
barrel,-2.0287072715846133
excruciating,-2.0271965960110943
dumb,-2.016216327401416
dud,-2.014100938399411
bad,-2.012729715033828
meaningless,-2.0120531097505525
mediocre,-1.9962910539329644
incompetent,-1.993490658724125
nonsensical,-1.9904347477300406
unlikable,-1.9830740427787863
disjointed,-1.9817388320949672
clichd,-1.9790985785909054
inexplicably,-1.9704740059991528
idiots,-1.968923554435753
brainless,-1.9673067269204698
dire,-1.9535009273954393
rambo,-1.9439477114889652
unless,-1.9411280744250567
conveniently,-1.9397772087762366
corn,-1.9334432750541855
supposed,-1.9297959834067353
turkey,-1.92862625875641
lowest,-1.9189437053590708
choppy,-1.9189437053590708
poor,-1.9147925399212555
cheap,-1.9128556199448516
cave,-1.909011170147811
werewolves,-1.9069710636929948
shelf,-1.9024555825705016
nonsense,-1.899197357186193
tomatoes,-1.8959520627328414
inconsistent,-1.8924714939978797
inappropriate,-1.8903036573151693
illogical,-1.878013441304189
trite,-1.8778247180334784
predator,-1.8670159133152096
trash,-1.8655044463976103
ludicrous,-1.8607626342705414
redeem,-1.858918934286853
zombies,-1.8553583209807802
rangers,-1.8518295095005337
irritating,-1.8459289080608496
obnoxious,-1.8459289080608496
disappointing,-1.8388161818662832
wastes,-1.8345515180686982
pretentious,-1.8337074912261095
awake,-1.8251615590384538
disappointment,-1.8235656572818126
bin,-1.8208026138799094
ripped,-1.8153875135324735
voodoo,-1.813149041336474
inaccurate,-1.812658912219856
utter,-1.8100093338059067
hulk,-1.8069752737162732
ridiculously,-1.803466487939135
ants,-1.803466487939135
sucked,-1.8013397390468406
dreary,-1.796547073999344
wig,-1.795795474586206
sht,-1.7864064345024853
repetitive,-1.784014125272962
senseless,-1.7775357271532197
clich,-1.77659078194774
topless,-1.771098237387677
horny,-1.7702996240039357
uh,-1.7632928348988763
painful,-1.763092140033019
generic,-1.7618873841877356
wheres,-1.7606816214423384
painfully,-1.7483424934329048
shallow,-1.7479654770580475
baldwin,-1.7337737479788216
coherent,-1.7303659970148664
skull,-1.725652403423389
hideous,-1.7245943212044261
rubber,-1.7225464925555674
passable,-1.7225464925555674
mutant,-1.7225464925555674
amateur,-1.7215552901525173
randomly,-1.7200396369449926
huh,-1.7168999294144252
fooled,-1.710737190265934
random,-1.6961786390403393
joke,-1.6906886479527017
preposterous,-1.6883307772176543
grudge,-1.6855801662016197
